T33,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
620,Portugal,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.62,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
620,Portugal,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.07,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
620,Portugal,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
620,Portugal,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.20,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
620,Portugal,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),272,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),677,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),836,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),718,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.38,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
634,Qatar,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
410,Republic of Korea,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),116,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
410,Republic of Korea,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),752,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
