T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
860,Uzbekistan,2010,Researchers per million inhabitants (FTE),547.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
860,Uzbekistan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
860,Uzbekistan,2015,Researchers per million inhabitants (FTE),501.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
860,Uzbekistan,2022,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
860,Uzbekistan,2022,Researchers per million inhabitants (FTE),547.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2005,Researchers per million inhabitants (FTE),122.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2010,Researchers per million inhabitants (FTE),203.5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2015,Researchers per million inhabitants (FTE),246.6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2016,Researchers per million inhabitants (FTE),292.0,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
862,Venezuela (Boliv. Rep. of),2022,Researchers per million inhabitants (FTE),352.0,Estimate.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
704,Viet Nam,2002,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
704,Viet Nam,2002,Researchers per million inhabitants (FTE),116.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
704,Viet Nam,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
704,Viet Nam,2015,Researchers per million inhabitants (FTE),685.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
704,Viet Nam,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
704,Viet Nam,2021,Researchers per million inhabitants (FTE),779.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
894,Zambia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
894,Zambia,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
894,Zambia,2008,Researchers per million inhabitants (FTE),42.5,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
716,Zimbabwe,2012,Researchers per million inhabitants (FTE),99.4,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2005,Researchers per million inhabitants (FTE),145.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2010,Researchers per million inhabitants (FTE),137.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2015,Researchers per million inhabitants (FTE),162.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
432,LLDCs,2021,Researchers per million inhabitants (FTE),169.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2005,Researchers per million inhabitants (FTE),47.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2010,Researchers per million inhabitants (FTE),57.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2015,Researchers per million inhabitants (FTE),65.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
199,LDC§,2021,Researchers per million inhabitants (FTE),72.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
722,SIDS,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
722,SIDS,2005,Researchers per million inhabitants (FTE),606.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
722,SIDS,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
