T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
705,Slovenia,1995,Net official development assistance received: Bilateral  (millions of US dollars),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,1995,Net official development assistance received: Multilateral (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,1995,Net official development assistance received: Total (millions of US dollars),53,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,1995,Net official development assistance received: Total (as % GNI),0.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,1985,Net official development assistance received: Bilateral  (millions of US dollars),14,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,1995,Net official development assistance received: Bilateral  (millions of US dollars),42,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2005,Net official development assistance received: Bilateral  (millions of US dollars),165,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2010,Net official development assistance received: Bilateral  (millions of US dollars),293,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2015,Net official development assistance received: Bilateral  (millions of US dollars),170,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2020,Net official development assistance received: Bilateral  (millions of US dollars),190,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2021,Net official development assistance received: Bilateral  (millions of US dollars),243,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2022,Net official development assistance received: Bilateral  (millions of US dollars),228,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,1985,Net official development assistance received: Multilateral (millions of US dollars),5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,1995,Net official development assistance received: Multilateral (millions of US dollars),6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2005,Net official development assistance received: Multilateral (millions of US dollars),32,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2010,Net official development assistance received: Multilateral (millions of US dollars),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2015,Net official development assistance received: Multilateral (millions of US dollars),21,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2020,Net official development assistance received: Multilateral (millions of US dollars),24,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2021,Net official development assistance received: Multilateral (millions of US dollars),22,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2022,Net official development assistance received: Multilateral (millions of US dollars),26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,1985,Net official development assistance received: Total (millions of US dollars),19,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,1995,Net official development assistance received: Total (millions of US dollars),48,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2005,Net official development assistance received: Total (millions of US dollars),197,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
90,Solomon Islands,2010,Net official development assistance received: Total (millions of US dollars),333,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
